FlightDate,Origin,Dest,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,CRSDepTime,DepTime,CRSArrTime,ArrTime,WheelsOff,WheelsOn,Cancelled
2008-01-01,LGA,IAH,CO,N24202,633,545,559,844,907,611,901,False
2008-01-01,LGA,DEN,UA,N535UA,399,600,607,823,825,621,818,False
2008-01-01,FNT,LGA,9E,,3753,600,9999,750,9999,9999,9999,True
2008-01-01,LGA,ORD,AA,N427AA,301,600,618,730,738,627,730,False
2008-01-01,ORD,LGA,AA,N631AA,398,600,630,900,921,642,918,False
2008-01-01,LGA,DFW,AA,N556AA,701,600,606,900,945,620,937,False
2008-01-01,MSP,LGA,AA,N486AA,1152,600,600,940,941,619,937,False
2008-01-01,LGA,STL,AA,N207AA,1899,600,602,745,748,613,745,False
2008-01-01,STL,LGA,AA,N424AA,2028,600,557,915,900,609,857,False
2008-01-01,FLL,LGA,B6,N665JB,370,600,559,843,830,614,822,False
2008-01-01,LGA,FLL,B6,N589JB,371,600,558,855,917,630,915,False
2008-01-01,LGA,CVG,DL,N3742C,718,600,609,813,831,626,825,False
2008-01-01,LGA,ATL,FL,N284AT,359,600,555,830,825,605,815,False
2008-01-01,BOS,LGA,MQ,N738NR,4814,600,608,715,723,632,717,False
2008-01-01,DSM,LGA,MQ,N717AE,4821,600,557,935,929,612,925,False
2008-01-01,XNA,LGA,MQ,N715AE,4912,600,555,949,933,613,929,False
2008-01-01,LGA,DTW,NW,N509US,460,600,559,757,807,614,754,False
2008-01-01,LGA,MIA,AA,N3CHAA,2103,610,604,910,915,616,910,False
2008-01-01,LGA,RDU,MQ,N728AE,4724,610,622,750,800,632,756,False
2008-01-01,ATL,LGA,AA,N512AA,1142,615,620,820,820,641,814,False
2008-01-01,DTW,LGA,MQ,N730KW,4877,615,613,800,840,718,834,False
2008-01-01,CLE,LGA,MQ,N737MW,4886,615,612,750,751,637,745,False
2008-01-01,CMH,LGA,OH,N642CA,5680,619,625,805,759,635,749,False
2008-01-01,LGA,MSP,AA,N523AA,1017,620,628,825,820,641,817,False
2008-01-01,LGA,MSP,NW,N532US,783,620,620,823,830,645,820,False
2008-01-01,DCA,LGA,MQ,N852AE,4795,625,702,740,757,711,753,False
2008-01-01,DTW,LGA,NW,N522US,346,625,638,806,841,714,832,False
2008-01-01,LGA,MEM,NW,N301US,629,629,646,829,913,702,900,False
2008-01-01,BHM,LGA,OH,N964CA,5120,630,630,1000,937,633,929,False
2008-01-01,LGA,DFW,AA,N503AA,705,630,622,930,1010,647,1002,False
2008-01-01,LGA,CLE,CO,N32626,451,630,626,810,820,651,814,False
2008-01-01,CAK,LGA,FL,N990AT,201,630,626,752,749,636,738,False
2008-01-01,FNT,LGA,MQ,N710TB,4859,630,705,830,1051,900,1023,False
2008-01-01,LGA,CLT,MQ,N726AE,4893,630,630,845,917,724,914,False
2008-01-01,LGA,CLT,US,N182UW,1433,635,652,834,902,708,856,False
2008-01-01,MEM,LGA,MQ,N718AE,4881,635,720,1010,1041,734,1026,False
2008-01-01,ATL,LGA,DL,N647DL,502,645,647,853,841,700,830,False
2008-01-01,LGA,ORD,AA,,305,650,9999,825,9999,9999,9999,True
2008-01-01,MIA,LGA,AA,N5CYAA,1114,650,700,940,945,718,940,False
2008-01-01,DFW,LGA,AA,N586AA,700,655,649,1110,1110,700,1045,False
2008-01-01,LGA,ATL,DL,N668DN,503,659,656,939,943,715,929,False
2008-01-01,LGA,ATL,FL,N891AT,363,659,650,929,925,657,911,False
2008-01-01,LGA,ORD,UA,N840UA,669,700,655,832,820,707,816,False
2008-01-01,TPA,LGA,DL,N986DL,1783,700,658,943,931,716,922,False
2008-01-01,LGA,DEN,F9,N910FR,505,700,648,935,913,704,905,False
2008-01-01,RDU,LGA,MQ,N723AE,4727,700,656,840,807,707,804,False
2008-01-01,LGA,BOS,MQ,N721HS,4803,700,708,810,758,721,755,False
2008-01-01,MSP,LGA,NW,N330NW,520,700,658,1038,1038,716,1028,False
2008-01-01,LGA,DCA,MQ,N734EK,4788,705,657,820,802,709,759,False
2008-01-01,LGA,DFW,AA,,707,710,9999,1015,9999,9999,9999,True
2008-01-01,ATL,LGA,FL,N952AT,382,710,709,917,853,717,848,False
2008-01-01,CLT,LGA,MQ,N711PH,4892,710,700,859,832,716,827,False
2008-01-01,GSO,LGA,OH,N783CA,5555,720,815,907,950,833,940,False
2008-01-01,IAD,LGA,YV,N75987,7209,720,852,830,1001,908,956,False
2008-01-01,LGA,FLL,DL,N914DL,1866,720,714,1028,1028,731,1023,False
2008-01-01,LGA,DTW,NW,N355NW,533,727,720,924,1034,741,1020,False
2008-01-01,LGA,TPA,DL,N909DE,1807,729,731,1033,1043,743,1040,False
2008-01-01,DEN,LGA,UA,N529UA,400,730,731,1307,1300,746,1255,False
2008-01-01,MSN,LGA,9E,86739E,2899,730,726,1050,1100,741,1030,False
2008-01-01,LGA,PBI,B6,N505JB,363,730,859,1025,1214,926,1209,False
2008-01-01,LGA,IAH,CO,N12225,733,730,732,1034,1035,745,1030,False
