flight_number,date,origin_airport,destination_airport,scheduled_departure_time,scheduled_arrival_time,actual_departure_time,actual_arrival_time,wheels_on_time,wheels_off_time,cancelled,origin_time_zone,destination_time_zone
693,1999-09-01,LGA,BNA,23.9333,24.85,31.4333,33.7667,32.7333,31.9167,False,America/New_York,America/Chicago
1195,1999-09-01,LGA,BNA,23.9333,24.85,34.3333,36.8667,35.85,35.1167,False,America/New_York,America/Chicago
1529,1999-09-01,LGA,BNA,23.9333,24.85,42.8333,44.95,43.9167,43.1333,False,America/New_York,America/Chicago
693,1999-09-02,LGA,BNA,23.9333,24.85,32.8,34.9333,33.95,33.1667,False,America/New_York,America/Chicago
1195,1999-09-02,LGA,BNA,23.9333,24.85,34.3667,36.2833,35.25,34.5167,False,America/New_York,America/Chicago
1529,1999-09-02,LGA,BNA,23.9333,24.85,42.9,45.4167,44.4167,43.65,False,America/New_York,America/Chicago
693,1999-09-03,LGA,BNA,23.9333,24.85,31.8167,33.85,32.85,32.1,False,America/New_York,America/Chicago
1195,1999-09-03,LGA,BNA,23.9333,24.85,34.3333,36.35,35.3667,34.65,False,America/New_York,America/Chicago
1529,1999-09-03,LGA,BNA,23.9333,24.85,42.8667,45.1833,44.0833,43.3667,False,America/New_York,America/Chicago
693,1999-09-04,LGA,BNA,23.9333,24.85,31.45,33.5,32.45,31.7,False,America/New_York,America/Chicago
1195,1999-09-05,LGA,BNA,23.9333,24.85,34.35,36.2667,35.2333,34.4833,False,America/New_York,America/Chicago
1529,1999-09-05,LGA,BNA,23.9333,24.85,42.7,44.6833,43.6667,43.0167,False,America/New_York,America/Chicago
1195,1999-09-06,LGA,BNA,23.9333,24.85,34.35,36.2667,35.2333,34.5,False,America/New_York,America/Chicago
1529,1999-09-06,LGA,BNA,23.9333,24.85,42.8667,45.4333,44.4333,43.6667,False,America/New_York,America/Chicago
693,1999-09-07,LGA,BNA,23.9333,24.85,32.35,34.3667,33.35,32.5333,False,America/New_York,America/Chicago
