flight_number,date,origin_airport,destination_airport,scheduled_departure_time,scheduled_arrival_time,actual_departure_time,actual_arrival_time,wheels_on_time,wheels_off_time,cancelled,origin_time_zone,destination_time_zone
2070,2016-12-21,LGA,PHL,5.68333,6.88333,5.85,6.63333,6.53333,6.01667,False,America/New_York,America/New_York
1902,2016-12-21,LGA,PHL,19.45,20.75,19.3333,20.1833,20.1167,19.55,False,America/New_York,America/New_York
657,2016-12-21,LGA,IAH,5.68333,9.68333,5.65,9.1,8.08333,5.83333,False,America/New_York,America/Chicago
1077,2016-12-21,LGA,IAH,7.18333,11.25,7.18333,10.75,9.76667,7.46667,False,America/New_York,America/Chicago
1429,2016-12-21,LGA,IAH,8.6,12.8167,8.58333,12.0167,11.0167,8.8,False,America/New_York,America/Chicago
1973,2016-12-21,LGA,IAH,10.0167,14.1833,10.0833,13.5333,12.5167,10.3333,False,America/New_York,America/Chicago
1805,2016-12-21,LGA,IAH,13.4333,17.4667,13.4833,17.0333,15.9167,13.6667,False,America/New_York,America/Chicago
1926,2016-12-21,LGA,IAH,15.6833,19.9667,15.6167,19.2167,18.2167,15.8,False,America/New_York,America/Chicago
119,2016-12-21,LGA,IAH,16.7667,21.0167,16.7333,20.25,19.2,16.9,False,America/New_York,America/Chicago
1167,2016-12-21,LGA,IAH,18.6,22.8,18.55,22.0667,21.05,18.8,False,America/New_York,America/Chicago
1399,2016-12-21,LGA,MIA,5.75,8.9,5.73333,8.63333,8.56667,5.96667,False,America/New_York,America/New_York
2266,2016-12-21,LGA,MIA,6.93333,10.2167,6.86667,9.93333,9.8,7.13333,False,America/New_York,America/New_York
1805,2016-12-21,LGA,MIA,6.93333,10.2667,6.9,9.83333,9.7,7.16667,False,America/New_York,America/New_York
1410,2016-12-21,LGA,MIA,7.93333,11.3333,7.93333,10.9833,10.85,8.31667,False,America/New_York,America/New_York
1075,2016-12-21,LGA,MIA,8.93333,12.4333,9.06667,11.9667,11.9,9.38333,False,America/New_York,America/New_York
1595,2016-12-21,LGA,MIA,9.43333,12.8667,9.38333,12.35,12.2,9.71667,False,America/New_York,America/New_York
1103,2016-12-21,LGA,MIA,9.78333,13.1167,9.78333,13.0167,12.55,10.1167,False,America/New_York,America/New_York
1082,2016-12-21,LGA,MIA,10.9333,14.2833,10.9,13.7,13.5833,11.1167,False,America/New_York,America/New_York
1765,2016-12-21,LGA,MIA,11.35,14.8333,11.3167,14.2667,14.1333,11.5167,False,America/New_York,America/New_York
1311,2016-12-21,LGA,MIA,12.4333,15.8167,12.4,15.2167,15.1333,12.6333,False,America/New_York,America/New_York
1365,2016-12-21,LGA,MIA,12.9333,16.3333,12.9167,15.7833,15.6667,13.1667,False,America/New_York,America/New_York
2511,2016-12-21,LGA,MIA,13.35,16.75,13.35,16.45,16.3333,13.9,False,America/New_York,America/New_York
1923,2016-12-21,LGA,MIA,14.1833,17.5167,14.0833,16.9333,16.7833,14.35,False,America/New_York,America/New_York
1621,2016-12-21,LGA,MIA,15.4167,19,15.4167,18.4167,18.1333,15.7667,False,America/New_York,America/New_York
2157,2016-12-21,LGA,MIA,16.7667,20.2167,16.7167,19.4667,19.3167,16.9333,False,America/New_York,America/New_York
