date,flight_number,origin_airport,destination_airport,scheduled_departure_time,scheduled_arrival_time,actual_departure_time,actual_arrival_time,wheels_off_time,wheels_on_time,cancelled,diverted
2017-09-08,UA:1479,DEN,LGA,2.75,6.21667,2.73333,6.25,2.88333,5.98333,False,False
2017-09-08,UA:657,LGA,IAH,5.75,9.33333,5.71667,9.23333,5.93333,9,False,False
2017-09-08,EV:3921,LGA,CLE,5.91667,7.61667,5.86667,7.5,6.11667,7.4,False,False
2017-09-08,AA:129,LGA,MCO,5.98333,8.71667,5.73333,8.41667,5.96667,8.25,False,False
2017-09-08,AA:2115,LGA,DCA,5.98333,7.18333,5.86667,6.88333,6.01667,6.78333,False,False
2017-09-08,B6:198,MCO,LGA,6,8.61667,6.16667,8.55,6.4,8.45,False,False
2017-09-08,B6:272,FLL,LGA,6,8.85,6.45,9,6.65,8.86667,False,False
2017-09-08,WN:1227,TPA,LGA,6,8.66667,5.98333,8.48333,6.25,8.4,False,False
2017-09-08,WN:154,ATL,LGA,6,8.16667,5.93333,8.03333,6.35,7.98333,False,False
2017-09-08,AA:2060,CLT,LGA,6,7.8,5.98333,7.61667,6.26667,7.53333,False,False
2017-09-08,DL:964,LGA,DTW,6,8.43333,5.91667,8.2,6.1,8.05,False,False
2017-09-08,DL:1447,LGA,ATL,6,8.46667,6.03333,8.35,6.3,8.2,False,False
2017-09-08,B6:371,LGA,FLL,6,8.9,5.91667,9.11667,6.28333,9.01667,False,False
2017-09-08,WN:701,LGA,DAL,6,9.5,5.91667,9.33333,6.15,9.26667,False,False
2017-09-08,WN:1230,LGA,MDW,6,8.25,6.01667,8.2,6.21667,8.15,False,False
2017-09-08,AA:1399,LGA,MIA,6,9.03333,5.93333,8.85,6.18333,8.71667,False,False
2017-09-08,AA:2126,LGA,BOS,6,7.11667,5.88333,6.73333,6.06667,6.68333,False,False
2017-09-08,AA:125,LGA,DFW,6.05,9.75,6,9.73333,6.41667,9.51667,False,False
2017-09-08,DL:1919,LGA,MSP,6.16667,9.05,6.16667,8.78333,6.33333,8.73333,False,False
2017-09-08,F9:1462,ATL,LGA,6.23333,8.5,6.18333,8.28333,6.46667,8.18333,False,False
2017-09-08,AA:461,LGA,CLT,6.25,8.15,6.18333,8.08333,6.45,7.93333,False,False
2017-09-08,EV:4225,CLE,LGA,6.33333,8,6.25,7.9,6.51667,7.68333,False,False
2017-09-08,WN:1551,LGA,HOU,6.33333,10,6.6,10.1,6.76667,10.05,False,False
2017-09-08,EV:5352,CHO,LGA,6.41667,7.76667,6.33333,7.41667,6.48333,7.33333,False,False
2017-09-08,EV:5405,RIC,LGA,6.41667,7.76667,7.33333,8.66667,7.71667,8.55,False,False
2017-09-08,UA:1137,LGA,DEN,6.46667,10.8167,6.3,10.4667,6.5,10.35,False,False
2017-09-08,AA:1841,LGA,PHL,6.48333,7.56667,6.36667,7.25,6.6,7.21667,False,False
2017-09-08,DL:886,ATL,LGA,6.5,8.71667,6.43333,8.53333,6.63333,8.33333,False,False
2017-09-08,DL:2674,BOS,LGA,6.5,7.86667,6.5,7.76667,6.85,7.65,False,False
2017-09-08,AA:2165,BOS,LGA,6.5,7.83333,6.38333,7.63333,6.78333,7.56667,False,False
2017-09-08,WN:1724,LGA,ATL,6.5,8.91667,6.45,8.98333,6.85,8.78333,False,False
2017-09-08,NK:705,LGA,FLL,6.5,9.46667,24,24,24,24,True,False
2017-09-08,B6:1432,LGA,BOS,6.5,7.71667,6.35,7.35,6.56667,7.2,False,False
2017-09-08,EV:5554,LGA,CLT,6.5,8.65,6.65,8.61667,6.9,8.51667,False,False
2017-09-08,AA:304,LGA,ORD,6.5,8.95,6.38333,8.86667,6.58333,8.65,False,False
2017-09-08,EV:5609,SAV,LGA,6.58333,8.8,6.6,8.63333,6.91667,8.53333,False,False
2017-09-08,NK:316,DTW,LGA,6.6,7.68333,7,7.83333,7.16667,7.75,False,False
