date,flight_number,tail_number,origin_airport,destination_airport,scheduled_departure_time,scheduled_arrival_time,actual_departure_time,actual_arrival_time,wheels_off_time,wheels_on_time,departure_delay,arrival_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,cancelled,cancellation_code,diverted,diverted_reached_destination,diverted_airport_landings
2018-03-13,YX:4431,N120HQ,MIA,LGA,5.66667,8.83333,5.58333,8.7,5.83333,8.41667,-0.0833333,-0.133333,0,0,0,0,0,False,Z,False,,0
2018-03-13,UA:761,N897UA,LGA,ORD,5.75,8.11667,6.01667,8,6.23333,7.96667,0.266667,-0.116667,0,0,0,0,0,False,Z,False,,0
2018-03-13,9E:3319,N926XJ,SYR,LGA,5.83333,7.25,0,0,0,0,0,0,0,0,0,0,0,True,C,False,,0
2018-03-13,MQ:3721,N673AE,RDU,LGA,5.91667,7.56667,5.83333,8.26667,7.01667,8.16667,-0.0833333,0.7,0,0,0.7,0,0,False,Z,False,,0
2018-03-13,YX:5884,N214JQ,RDU,LGA,6,7.76667,7.31667,9.33333,8.06667,9.23333,1.31667,1.56667,0,1.31667,0.25,0,0,False,Z,False,,0
2018-03-13,EV:5425,N710EV,GSO,LGA,6,7.7,5.91667,7.75,6.55,7.61667,-0.0833333,0.05,0,0,0,0,0,False,Z,False,,0
2018-03-13,EV:5536,N752EV,ORF,LGA,6,7.56667,6.31667,7.56667,6.53333,7.46667,0.316667,0,0,0,0,0,0,False,Z,False,,0
2018-03-13,MQ:3433,N918AE,ORF,LGA,6,7.43333,5.93333,7.38333,6.23333,7.08333,-0.0666667,-0.05,0,0,0,0,0,False,Z,False,,0
2018-03-13,EV:5568,N738EV,LEX,LGA,6,7.98333,5.98333,8.61667,7.11667,8.51667,-0.0166667,0.633333,0,0,0.633333,0,0,False,Z,False,,0
2018-03-13,MQ:3518,N858AE,CHO,LGA,6,7.33333,6.05,7.46667,6.25,7.15,0.05,0.133333,0,0,0,0,0,False,Z,False,,0
2018-03-13,WN:1814,N8613K,ATL,LGA,6,8.16667,6.31667,8.35,6.6,8.3,0.316667,0.183333,0,0,0,0,0,False,Z,False,,0
2018-03-13,DL:886,N309US,ATL,LGA,6,8.26667,6.01667,8.4,6.4,8.05,0.0166667,0.133333,0,0,0,0,0,False,Z,False,,0
2018-03-13,WN:1573,N477WN,TPA,LGA,6,8.66667,5.93333,8.3,6.1,8.23333,-0.0666667,-0.366667,0,0,0,0,0,False,Z,False,,0
2018-03-13,YX:4748,N418YX,CMH,LGA,6,7.71667,5.9,7.6,6.26667,7.51667,-0.1,-0.116667,0,0,0,0,0,False,Z,False,,0
2018-03-13,YX:4754,N115HQ,DCA,LGA,6,7.28333,5.9,7.01667,6.16667,6.83333,-0.1,-0.266667,0,0,0,0,0,False,Z,False,,0
2018-03-13,YX:6132,N815MD,DCA,LGA,6,6.98333,5.85,7.41667,6.58333,7.28333,-0.15,0.433333,0,0,0.433333,0,0,False,Z,False,,0
2018-03-13,YX:6073,N205JQ,BOS,LGA,6,7.5,0,0,0,0,0,0,0,0,0,0,0,True,B,False,,0
2018-03-13,AA:2143,N963UW,BOS,LGA,6,7.46667,0,0,0,0,0,0,0,0,0,0,0,True,B,False,,0
2018-03-13,AA:2060,N712US,CLT,LGA,6,7.8,5.93333,7.5,6.13333,7.4,-0.0666667,-0.3,0,0,0,0,0,False,Z,False,,0
2018-03-13,9E:3288,N910XJ,PIT,LGA,6,7.5,5.8,7.26667,6.18333,7.11667,-0.2,-0.233333,0,0,0,0,0,False,Z,False,,0
2018-03-13,9E:3469,N330PQ,CHS,LGA,6,7.98333,0,0,0,0,0,0,0,0,0,0,0,True,C,False,,0
2018-03-13,9E:3939,N980EV,BUF,LGA,6,7.43333,0,0,0,0,0,0,0,0,0,0,0,True,C,False,,0
2018-03-13,9E:3773,N320PQ,MHT,LGA,6,7.41667,0,0,0,0,0,0,0,0,0,0,0,True,C,False,,0
2018-03-13,B6:272,N583JB,FLL,LGA,6,8.9,6.06667,8.85,6.33333,8.73333,0.0666667,-0.05,0,0,0,0,0,False,Z,False,,0
2018-03-13,WN:747,N769SW,LGA,DAL,6,9.91667,6.75,10.6667,7.56667,10.6333,0.75,0.75,0.75,0,0,0,0,False,Z,False,,0
2018-03-13,WN:1273,,LGA,MDW,6,8.41667,0,0,0,0,0,0,0,0,0,0,0,True,B,False,,0
2018-03-13,YV:6052,N505MJ,LGA,IAD,6,7.4,13.7667,15.2333,14.3167,15.1667,7.76667,7.83333,7.83333,0,0,0,0,False,Z,False,,0
2018-03-13,YX:4499,N103HQ,LGA,CMH,6,7.91667,0,0,0,0,0,0,0,0,0,0,0,True,B,False,,0
2018-03-13,YX:4750,N109HQ,LGA,DCA,6,7.4,5.98333,7.83333,6.91667,7.78333,-0.0166667,0.433333,0,0,0.433333,0,0,False,Z,False,,0
2018-03-13,YX:6131,N875RW,LGA,DCA,6,7.23333,0,0,0,0,0,0,0,0,0,0,0,True,B,False,,0
2018-03-13,YX:6046,N206JQ,LGA,BOS,6,7.16667,0,0,0,0,0,0,0,0,0,0,0,True,B,False,,0
2018-03-13,AA:2117,N801AW,LGA,BOS,6,7.16667,0,0,0,0,0,0,0,0,0,0,0,True,B,False,,0
2018-03-13,AA:1556,N153AN,LGA,DFW,6,10.1167,0,0,0,0,0,0,0,0,0,0,0,True,C,False,,0
2018-03-13,DL:964,N332NW,LGA,DTW,6,8.51667,5.9,8.36667,6.38333,8.21667,-0.1,-0.15,0,0,0,0,0,False,Z,False,,0
2018-03-13,DL:1447,N330NW,LGA,ATL,6,8.58333,6,8.6,6.66667,8.5,0,0.0166667,0,0,0,0,0,False,Z,False,,0
2018-03-13,B6:371,N635JB,LGA,FLL,6,8.98333,5.9,9.33333,6.7,9.2,-0.1,0.35,0,0,0.35,0,0,False,Z,False,,0
2018-03-13,UA:657,N77518,LGA,IAH,6,9.9,6.28333,9.91667,6.56667,9.78333,0.283333,0.0166667,0,0,0,0,0,False,Z,False,,0
2018-03-13,9E:3426,N176PQ,ROC,LGA,6.03333,7.48333,0,0,0,0,0,0,0,0,0,0,0,True,C,False,,0
2018-03-13,AA:868,N957UW,LGA,PHL,6.03333,7.2,6.66667,7.98333,7.38333,7.85,0.633333,0.783333,0.633333,0,0.15,0,0,False,Z,False,,0
2018-03-13,EV:5422,N761ND,RIC,LGA,6.05,7.5,5.93333,7.68333,6.76667,7.55,-0.116667,0.183333,0,0,0,0,0,False,Z,False,,0
2018-03-13,9E:3499,N336PQ,SAV,LGA,6.06667,8.25,5.95,7.78333,6.16667,7.71667,-0.116667,-0.466667,0,0,0,0,0,False,Z,False,,0
2018-03-13,B6:198,N621JB,MCO,LGA,6.06667,8.65,5.96667,8.41667,6.26667,8.33333,-0.1,-0.233333,0,0,0,0,0,False,Z,False,,0
2018-03-13,9E:5057,N8894A,CHO,LGA,6.08333,7.48333,0,0,0,0,0,0,0,0,0,0,0,True,C,False,,0
2018-03-13,YX:4525,N440YX,PIT,LGA,6.08333,7.66667,5.85,7.76667,6.06667,7.01667,-0.233333,0.1,0,0,0,0,0,False,Z,False,,0
2018-03-13,MQ:3972,N694AE,RIC,LGA,6.08333,7.43333,5.95,7.73333,6.45,7.21667,-0.133333,0.3,0,0,0.3,0,0,False,Z,False,,0
2018-03-13,DL:2276,N331DN,MCO,LGA,6.08333,8.81667,6,8.56667,6.31667,8.46667,-0.0833333,-0.25,0,0,0,0,0,False,Z,False,,0
2018-03-13,YX:6013,N868RW,LGA,DFW,6.08333,10.3,11.35,15.6333,12.1667,15.55,5.26667,5.33333,5.26667,0,0.0666667,0,0,False,Z,False,,0
2018-03-13,AA:351,N856NN,LGA,MIA,6.08333,9.46667,6.01667,9.26667,6.48333,9.03333,-0.0666667,-0.2,0,0,0,0,0,False,Z,False,,0
2018-03-13,DL:1919,N368NW,LGA,MSP,6.08333,9.16667,6.01667,9.11667,6.96667,9.05,-0.0666667,-0.05,0,0,0,0,0,False,Z,False,,0
2018-03-13,9E:5069,N299PQ,LGA,CVG,6.08333,8.31667,0,0,0,0,0,0,0,0,0,0,0,True,C,False,,0
2018-03-13,YX:5914,N206JQ,CMH,LGA,6.1,7.85,6.03333,7.7,6.33333,7.58333,-0.0666667,-0.15,0,0,0,0,0,False,Z,False,,0
