2018-02-01,2018-02-02,2018-02-03,2018-02-04,2018-02-05,2018-02-06,2018-02-07,2018-02-08,2018-02-09,2018-02-10,2018-02-11,2018-02-12,2018-02-13,2018-02-14,2018-02-15,2018-02-16,2018-02-17,2018-02-18,2018-02-19,2018-02-20,2018-02-21,2018-02-22,2018-02-23,2018-02-24,2018-02-25,2018-02-26,2018-02-27,2018-02-28
-15.854734420776367,-712.5174560546875,-0.6603298187255859,-251.34083557128906,-77.63573455810547,-38.172977447509766,-441.83905029296875,-183.9193878173828,-151.3686981201172,8.628722190856934,-531.2288208007812,-142.12815856933594,-11.4186429977417,-17.79387664794922,-150.94154357910156,-166.96694946289062,-411.6651611328125,-131.37838745117188,-64.89765167236328,-81.68339538574219,-52.827430725097656,-280.9155578613281,-318.76275634765625,-120.03685760498047,-120.54759216308594,-43.61542510986328,-12.028799057006836,-50.52045440673828
-16.50031852722168,-709.8209228515625,-0.4956827461719513,-252.31837463378906,-76.69245147705078,-40.89434051513672,-433.2269287109375,-183.42831420898438,-152.13978576660156,8.385176658630371,-519.51953125,-140.67596435546875,-15.216919898986816,-19.737682342529297,-149.6547393798828,-165.0240020751953,-413.1117248535156,-128.47103881835938,-64.56330108642578,-80.51573181152344,-54.98335647583008,-278.52764892578125,-321.40252685546875,-121.60134887695312,-119.28551483154297,-48.451961517333984,-13.424386978149414,-54.32908630371094
-21.586301803588867,-702.3719482421875,-1.6991088390350342,-250.8251190185547,-75.54999542236328,-43.683921813964844,-438.6014709472656,-183.4219207763672,-148.5012664794922,6.807693958282471,-519.6663818359375,-142.11782836914062,-20.548343658447266,-22.077425003051758,-146.35206604003906,-157.5193328857422,-412.9871826171875,-127.91053771972656,-68.18651580810547,-81.26335906982422,-57.58943176269531,-277.2398681640625,-318.43896484375,-122.19095611572266,-119.74724578857422,-46.626625061035156,-19.101282119750977,-60.043792724609375
-41.051422119140625,-652.4396362304688,-2.854524612426758,-245.32054138183594,-92.4571304321289,-62.311344146728516,-419.15728759765625,-184.34994506835938,-149.06455993652344,6.966542720794678,-520.6869506835938,-143.54298400878906,-37.57487106323242,-24.71177101135254,-147.10316467285156,-140.17698669433594,-412.7433776855469,-132.62579345703125,-72.81852722167969,-83.4495620727539,-91.95368194580078,-250.35498046875,-317.21661376953125,-121.14729309082031,-115.46590423583984,-63.496395111083984,-34.925575256347656,-61.265140533447266
-55.93734359741211,-650.631103515625,-3.6297414302825928,-248.33819580078125,-79.39268493652344,-55.686439514160156,-401.8307189941406,-198.1801300048828,-160.8601531982422,6.388211250305176,-498.17572021484375,-158.4368438720703,-30.333295822143555,-24.654876708984375,-145.13259887695312,-150.14317321777344,-413.57891845703125,-128.51893615722656,-109.93862915039062,-101.1911392211914,-78.71892547607422,-234.4320526123047,-313.3359680175781,-125.37322998046875,-116.56265258789062,-111.38273620605469,-78.42138671875,-120.16712951660156
-497.12042236328125,-616.6654052734375,-1.7463922500610352,-249.88478088378906,-122.04377746582031,-126.20703887939453,-406.5898132324219,-259.2289123535156,-159.46292114257812,4.905243396759033,-472.6306457519531,-205.1221466064453,-77.38094329833984,-68.0870590209961,-186.70797729492188,-170.00674438476562,-415.74578857421875,-135.21304321289062,-318.75140380859375,-174.46873474121094,-134.25057983398438,-214.89483642578125,-413.2608337402344,-126.22543334960938,-124.68788146972656,-170.1359405517578,-187.62863159179688,-167.75477600097656
-465.7938537597656,-467.4111633300781,-4.948925495147705,-245.612548828125,-525.5515747070312,-242.14013671875,-337.8515625,-309.2561340332031,-299.3611755371094,4.935919284820557,-424.4587707519531,-336.5462646484375,-192.8311004638672,-93.67683410644531,-274.73260498046875,-216.77932739257812,-419.1106872558594,-131.71810913085938,-145.83311462402344,-141.2585906982422,-255.8717498779297,-260.1374206542969,-385.29937744140625,-125.21684265136719,-115.17880249023438,-253.4097442626953,-183.87901306152344,-357.2758483886719
-995.29541015625,-408.4188232421875,-5.564411163330078,-247.46356201171875,-534.743408203125,-248.51171875,-296.0035705566406,-1721.0771484375,-344.3392639160156,3.9212210178375244,-439.7359313964844,-398.3249816894531,-637.4266967773438,-176.07208251953125,-656.2064819335938,-372.60162353515625,-418.85821533203125,-129.26686096191406,-1662.2303466796875,-557.8501586914062,-501.6543884277344,-455.1767272949219,-526.1047973632812,-126.20720672607422,-134.61849975585938,-956.7942504882812,-754.7454223632812,-945.7249755859375
-1010.3560180664062,-453.7331237792969,-5.396880626678467,-235.7926483154297,-881.5386962890625,-867.8355102539062,-284.442626953125,-1158.148193359375,-567.19140625,0.7076722383499146,-412.6344909667969,-947.3515625,-1401.396484375,-380.5665283203125,-703.8955688476562,-412.4727783203125,-415.6824951171875,-158.59498596191406,-2006.242919921875,-675.990478515625,-914.9357299804688,-615.6041259765625,-1022.7962646484375,-147.1013641357422,-168.89529418945312,-1443.2747802734375,-532.8465576171875,-1512.698974609375
-1558.8797607421875,-540.2723999023438,-26.308717727661133,-235.68067932128906,-1241.1978759765625,-1923.899169921875,-274.96087646484375,-959.7857666015625,-1257.9779052734375,-6.819173336029053,-364.81414794921875,-1632.4217529296875,-2154.082275390625,-654.0736083984375,-1019.4564819335938,-949.0079345703125,-425.338134765625,-172.44509887695312,-1381.720703125,-2407.125244140625,-1981.1690673828125,-1424.3385009765625,-1207.952392578125,-125.12043762207031,-250.2407989501953,-2079.14404296875,-2339.252197265625,-1888.468994140625
