2018-08-01,2018-08-02,2018-08-03,2018-08-04,2018-08-05,2018-08-06,2018-08-07,2018-08-08,2018-08-09,2018-08-10,2018-08-11,2018-08-12,2018-08-13,2018-08-14,2018-08-15,2018-08-16,2018-08-17,2018-08-18,2018-08-19,2018-08-20,2018-08-21,2018-08-22,2018-08-23,2018-08-24,2018-08-25,2018-08-26,2018-08-27,2018-08-28,2018-08-29,2018-08-30,2018-08-31
-837.434326171875,-1140.8619384765625,-1971.9600830078125,-232.0852813720703,-348.0029602050781,-225.49705505371094,-909.2718505859375,-224.76805114746094,-63.8223991394043,-104.39595794677734,-1722.0445556640625,-432.7271423339844,-883.8377075195312,-2069.6728515625,-342.1876525878906,-352.21551513671875,-863.3416748046875,-274.51275634765625,-10.482784271240234,-280.4116516113281,-183.9913330078125,-52.22997283935547,-66.95787048339844,-41.06093978881836,-13.726678848266602,-33.75591278076172,-42.87665557861328,-78.75003814697266,-51.62799835205078,-106.15023040771484,-140.14251708984375
-825.3109741210938,-1134.486328125,-1962.3511962890625,-230.39732360839844,-350.7946472167969,-223.05926513671875,-915.1309814453125,-224.2476348876953,-65.14308166503906,-99.19194030761719,-1717.0833740234375,-427.340087890625,-865.5266723632812,-2061.78271484375,-342.538330078125,-351.5710754394531,-861.3753662109375,-267.35968017578125,-11.235262870788574,-281.9212341308594,-184.86663818359375,-51.961524963378906,-66.15298461914062,-41.772865295410156,-14.051766395568848,-35.75308609008789,-44.57947540283203,-77.28742980957031,-51.95090866088867,-105.54834747314453,-137.56358337402344
-810.0177612304688,-1120.613037109375,-1955.9967041015625,-227.4554901123047,-349.51568603515625,-221.92808532714844,-911.0247802734375,-223.41424560546875,-62.94825744628906,-101.71529388427734,-1700.3653564453125,-429.9310302734375,-870.2825927734375,-2048.7666015625,-340.4464111328125,-353.45513916015625,-865.6036987304688,-265.2809143066406,-12.637309074401855,-286.19256591796875,-182.5475616455078,-57.52830505371094,-65.05743408203125,-45.49061965942383,-18.19226837158203,-36.17784881591797,-48.681396484375,-79.43854522705078,-61.18790817260742,-120.00975036621094,-139.56275939941406
-824.4822387695312,-1113.6602783203125,-1953.0504150390625,-226.41595458984375,-352.41357421875,-218.76319885253906,-899.5740356445312,-220.1002197265625,-79.59496307373047,-99.91354370117188,-1697.3779296875,-404.8525390625,-848.6137084960938,-2010.8052978515625,-341.9768371582031,-352.2946472167969,-852.7042846679688,-265.42578125,-17.668428421020508,-275.4045715332031,-182.91831970214844,-63.00727081298828,-97.61314392089844,-44.52312469482422,-16.5589656829834,-40.9538688659668,-77.01943969726562,-92.61380767822266,-73.9819107055664,-130.90057373046875,-136.82432556152344
-805.0122680664062,-1084.0941162109375,-1941.0035400390625,-217.297119140625,-353.30584716796875,-217.5310821533203,-908.8250732421875,-203.804443359375,-83.54894256591797,-101.79817199707031,-1693.2694091796875,-418.5707092285156,-844.7523193359375,-2013.73583984375,-358.0856628417969,-378.7388916015625,-873.5765991210938,-264.3730773925781,-20.588165283203125,-289.5000305175781,-208.74024963378906,-106.8578872680664,-91.63938903808594,-67.19169616699219,-20.79897117614746,-66.81163024902344,-171.30653381347656,-137.95872497558594,-143.77001953125,-218.88076782226562,-103.736328125
-736.9183959960938,-1025.6414794921875,-1893.5389404296875,-222.67637634277344,-493.2294616699219,-238.884033203125,-874.99267578125,-247.40782165527344,-397.16668701171875,-134.9311065673828,-1685.112548828125,-390.4558410644531,-821.71826171875,-1931.4132080078125,-385.8377685546875,-496.8685607910156,-864.4603271484375,-268.386962890625,-114.9703140258789,-335.9884033203125,-176.5869140625,-222.62432861328125,-136.95982360839844,-280.820556640625,-17.203205108642578,-108.4518051147461,-241.0139923095703,-233.798095703125,-150.85597229003906,-250.39349365234375,-127.27886199951172
-628.3571166992188,-1005.2396850585938,-1890.0869140625,-210.60179138183594,-405.6543884277344,-324.13702392578125,-827.4060668945312,-208.68833923339844,-313.7705383300781,-367.9034423828125,-1676.19775390625,-386.76788330078125,-753.8978271484375,-1930.1385498046875,-450.5270690917969,-726.8301391601562,-876.5717163085938,-265.1576843261719,-236.49636840820312,-633.61181640625,-244.53314208984375,-521.3163452148438,-413.26519775390625,-330.8143615722656,-23.952877044677734,-182.76287841796875,-406.666015625,-311.0987243652344,-285.0487060546875,-323.9529724121094,-137.54408264160156
-680.0430908203125,-870.697509765625,-1850.1025390625,-217.5955352783203,-505.2366943359375,-453.6181945800781,-732.9822998046875,-567.31298828125,-800.263916015625,-695.7240600585938,-1682.0389404296875,-442.37139892578125,-711.0284423828125,-1735.6767578125,-1071.49853515625,-765.6309204101562,-1037.1995849609375,-260.882080078125,-336.63970947265625,-673.3848266601562,-1447.86572265625,-469.81378173828125,-480.9934997558594,-1003.9193725585938,-27.04087257385254,-207.58644104003906,-1055.339111328125,-1166.2286376953125,-769.3316040039062,-579.5718383789062,-396.73858642578125
-848.3720092773438,-800.3190307617188,-1728.8292236328125,-210.32334899902344,-939.6586303710938,-2063.468017578125,-746.0453491210938,-644.8667602539062,-517.1884155273438,-1542.594482421875,-1664.82861328125,-478.72406005859375,-683.7471313476562,-1542.73583984375,-1482.5548095703125,-1109.8316650390625,-1114.3753662109375,-247.63949584960938,-841.1531372070312,-1050.6165771484375,-884.3255615234375,-1171.9471435546875,-1345.4168701171875,-1747.530029296875,-36.816200256347656,-279.285400390625,-1951.99853515625,-1057.6361083984375,-1113.0169677734375,-1649.244873046875,-403.7569274902344
-950.5114135742188,-766.6417236328125,-1401.165771484375,-207.47059631347656,-1925.197998046875,-1379.4295654296875,-1017.7151489257812,-1089.800048828125,-1129.7843017578125,-1366.91455078125,-1629.963134765625,-1540.73046875,-722.2218017578125,-1425.4140625,-1741.738525390625,-1319.2978515625,-1491.998779296875,-269.8678894042969,-705.517333984375,-2018.271728515625,-589.59130859375,-2326.36962890625,-1808.7532958984375,-2173.162841796875,-57.299461364746094,-650.6595458984375,-2775.221435546875,-1947.5316162109375,-1565.697509765625,-1516.021728515625,-756.500732421875
-1836.9127197265625,-684.0624389648438,-1275.7476806640625,-221.57623291015625,-1568.549560546875,-2996.630615234375,-1244.30126953125,-875.2052001953125,-3129.964111328125,-3735.5498046875,-1563.9998779296875,-922.458740234375,-653.8123168945312,-1440.0372314453125,-2248.5009765625,-3838.146240234375,-2233.6279296875,-483.8387145996094,-1252.839111328125,-3145.869140625,-2437.4267578125,-3432.70166015625,-2970.144775390625,-3821.675048828125,-111.49427032470703,-1579.7978515625,-3524.70751953125,-1942.2183837890625,-3527.976318359375,-5379.642578125,-2029.689697265625
-2038.1728515625,-939.9050903320312,-1271.3643798828125,-208.8163299560547,-1957.53857421875,-3474.514892578125,-1227.8712158203125,-2631.572021484375,-5662.66650390625,-3607.35302734375,-1568.79931640625,-1210.599609375,-887.0033569335938,-1338.0938720703125,-4103.05224609375,-3705.31201171875,-2365.718017578125,-248.38560485839844,-3248.86328125,-4879.900390625,-2911.3134765625,-6251.22509765625,-3615.04296875,-4154.42626953125,-70.8512191772461,-2015.06884765625,-4025.612060546875,-4334.58203125,-3991.8515625,-7654.3154296875,-2358.498291015625
-2450.949462890625,-803.1586303710938,-1313.7860107421875,-224.2226104736328,-2715.06396484375,-6723.02734375,-1833.4324951171875,-3633.758544921875,-5652.96142578125,-5793.21923828125,-1434.8328857421875,-1787.4510498046875,-717.16455078125,-1262.454833984375,-5209.2900390625,-4359.8515625,-3160.26953125,-853.5299682617188,-2458.372314453125,-4654.4072265625,-3600.701416015625,-7415.6376953125,-8255.556640625,-5132.5341796875,-416.03631591796875,-3186.917236328125,-6411.88427734375,-5506.2421875,-5685.94677734375,-5391.49951171875,-2358.131103515625
-5121.34716796875,-1114.2413330078125,-1285.926513671875,-889.4600219726562,-3289.266357421875,-7528.2734375,-1881.1708984375,-3329.12939453125,-7254.2021484375,-9033.5927734375,-1496.1484375,-2765.242919921875,-920.9629516601562,-1630.2227783203125,-5903.103515625,-7366.87353515625,-4232.3984375,-986.4561157226562,-6401.72412109375,-7081.962890625,-5454.15380859375,-9545.7099609375,-5335.38037109375,-6937.79443359375,-620.3189086914062,-2922.46337890625,-6058.11181640625,-8506.65625,-5812.0302734375,-10864.7607421875,-5374.35546875
-4692.32666015625,-1696.2769775390625,-1416.802978515625,-607.3168334960938,-5689.30859375,-6035.779296875,-3094.143310546875,-8248.783203125,-9286.90234375,-7498.59814453125,-1295.00634765625,-2999.12646484375,-1115.839111328125,-1488.3067626953125,-8289.080078125,-9890.908203125,-4628.46142578125,-773.447021484375,-4690.29052734375,-11304.3974609375,-7423.109375,-9140.1044921875,-7771.91650390625,-11557.2646484375,-1181.7672119140625,-6347.4296875,-13143.3173828125,-11186.265625,-8010.033203125,-9571.111328125,-5911.95751953125
-6311.76953125,-2536.60888671875,-1313.712890625,-855.4227905273438,-7332.89453125,-10082.640625,-5120.59033203125,-6163.51171875,-10183.7626953125,-9265.693359375,-1222.600830078125,-3779.831298828125,-1957.3363037109375,-2421.322021484375,-9517.2890625,-8849.98828125,-5395.97314453125,-1421.3131103515625,-6490.80419921875,-10557.173828125,-6632.78564453125,-8465.044921875,-11448.9130859375,-10302.865234375,-817.141357421875,-6139.64599609375,-10931.318359375,-12469.7392578125,-10299.33203125,-12127.556640625,-9945.4482421875
-6034.9365234375,-3536.65380859375,-1445.73974609375,-523.43408203125,-7385.34033203125,-14211.8291015625,-4223.31591796875,-6401.27001953125,-15226.54296875,-12730.5419921875,-1226.580322265625,-4747.4560546875,-1701.432373046875,-2618.77880859375,-11632.171875,-16541.537109375,-6567.9814453125,-1455.5064697265625,-8468.83203125,-12077.0458984375,-11044.640625,-13198.98046875,-15864.474609375,-18790.21484375,-1231.0535888671875,-5967.70361328125,-14621.72265625,-11268.810546875,-10097.615234375,-15973.927734375,-6457.8076171875
-11579.6943359375,-2250.528076171875,-2240.697265625,-893.7534790039062,-6915.86279296875,-15619.4833984375,-5937.3349609375,-8428.8984375,-14082.67578125,-19604.6328125,-1153.24462890625,-6648.896484375,-2548.80224609375,-3157.784912109375,-12196.740234375,-15332.46484375,-8001.00830078125,-1072.2335205078125,-6786.58056640625,-15102.427734375,-11628.6064453125,-13873.537109375,-13900.9931640625,-17212.19921875,-2284.271240234375,-10477.6181640625,-17692.251953125,-15679.4306640625,-15552.3525390625,-16427.935546875,-11357.267578125
-8474.2109375,-4601.52197265625,-1984.285888671875,-1734.44384765625,-10227.58203125,-18956.134765625,-8605.419921875,-10480.2353515625,-21892.392578125,-18009.087890625,-1128.249755859375,-6728.45556640625,-2713.98779296875,-3275.8359375,-15862.1513671875,-17955.169921875,-10421.9228515625,-2168.171630859375,-10438.1484375,-14450.5400390625,-15439.353515625,-17461.96484375,-14782.7763671875,-19955.728515625,-1551.795654296875,-13332.5498046875,-17782.064453125,-15869.732421875,-21467.728515625,-19305.005859375,-11478.623046875
-16345.474609375,-3640.794921875,-1698.274658203125,-3225.18701171875,-10533.724609375,-20124.216796875,-9896.0654296875,-19733.21875,-22309.955078125,-26635.85546875,-1127.9552001953125,-9218.548828125,-2687.48681640625,-4692.88427734375,-17701.75,-20528.318359375,-12105.99609375,-1259.5074462890625,-16256.2060546875,-23465.65234375,-21986.193359375,-20315.603515625,-23972.876953125,-26143.083984375,-2940.89501953125,-12378.330078125,-23365.978515625,-22763.138671875,-20050.392578125,-18803.060546875,-16548.3671875
-20668.728515625,-8692.68359375,-2705.409423828125,-2315.250244140625,-18555.90234375,-18118.40234375,-9690.8388671875,-15193.31640625,-36021.078125,-24332.173828125,-1153.4957275390625,-9109.400390625,-4368.19140625,-5887.216796875,-25908.01953125,-25251.8125,-16805.685546875,-3542.986572265625,-12249.5888671875,-16079.9384765625,-16082.990234375,-24578.05078125,-30436.21484375,-21047.14453125,-2656.256591796875,-13525.2080078125,-21914.55078125,-28384.357421875,-26994.27734375,-26677.474609375,-17542.525390625
