2019-04-01,2019-04-02,2019-04-03,2019-04-04,2019-04-05,2019-04-06,2019-04-07,2019-04-08,2019-04-09,2019-04-10,2019-04-11,2019-04-12,2019-04-13,2019-04-14,2019-04-15,2019-04-16,2019-04-17,2019-04-18,2019-04-19,2019-04-20,2019-04-21,2019-04-22,2019-04-23,2019-04-24,2019-04-25,2019-04-26,2019-04-27,2019-04-28,2019-04-29,2019-04-30
-905.1995239257812,-0.20497868955135345,-90.23746490478516,-42.18780517578125,-10.409335136413574,-40.31705093383789,-119.35945892333984,-229.2240753173828,-122.39029693603516,-78.22140502929688,-92.04472351074219,-517.9153442382812,-605.6845703125,-1674.831787109375,-853.3026733398438,-158.8209686279297,-61.434207916259766,-115.43569946289062,-798.4795532226562,-279.92498779296875,-160.51025390625,-185.58163452148438,-42.511165618896484,-29.101219177246094,-25.443687438964844,-883.2113647460938,-481.1846618652344,-118.09710693359375,-108.497314453125,-41.96445083618164
-892.4586181640625,-3.7324047088623047,-90.68771362304688,-41.368350982666016,-13.784846305847168,-38.716426849365234,-119.27008056640625,-227.16297912597656,-121.32132720947266,-78.33128356933594,-91.35157775878906,-513.7505493164062,-603.7910766601562,-1687.5802001953125,-839.7962036132812,-160.12571716308594,-62.71498489379883,-107.68397521972656,-793.3663940429688,-277.47503662109375,-162.72328186035156,-178.8038787841797,-45.556488037109375,-32.60349655151367,-27.621368408203125,-874.8888549804688,-484.9654846191406,-118.666748046875,-111.02484893798828,-44.53530502319336
-857.3630981445312,-26.140775680541992,-97.05856323242188,-42.946311950683594,-22.572277069091797,-39.34246063232422,-118.52883911132812,-236.3854217529297,-114.08137512207031,-76.14925384521484,-96.46649169921875,-512.8690795898438,-602.0750122070312,-1667.3204345703125,-851.3316650390625,-157.97674560546875,-62.17536163330078,-112.06973266601562,-794.6583862304688,-280.5340576171875,-167.54098510742188,-170.2619171142578,-51.89196014404297,-33.832733154296875,-30.362462997436523,-877.568115234375,-482.62884521484375,-118.42971801757812,-112.79969024658203,-43.65540313720703
-840.30908203125,-38.06581115722656,-97.49411010742188,-77.13874816894531,-21.027631759643555,-40.51109313964844,-123.53040313720703,-231.07618713378906,-119.2575454711914,-80.12625885009766,-102.54534912109375,-505.5707092285156,-602.32861328125,-1650.202880859375,-827.5853881835938,-167.4851837158203,-81.62293243408203,-96.64510345458984,-795.727294921875,-274.1994323730469,-168.31353759765625,-180.1390380859375,-57.61005783081055,-47.70083236694336,-89.85751342773438,-857.8790283203125,-482.5600891113281,-131.9253387451172,-113.92131042480469,-57.45362091064453
-825.1292114257812,-86.86620330810547,-99.6429443359375,-77.68887329101562,-61.33237838745117,-41.88367462158203,-125.02527618408203,-236.2382049560547,-115.15264129638672,-89.60264587402344,-102.5199966430664,-481.02142333984375,-603.22265625,-1578.0357666015625,-754.6980590820312,-211.57345581054688,-148.13999938964844,-102.81520080566406,-814.47900390625,-277.809326171875,-169.21298217773438,-171.01048278808594,-64.4158706665039,-75.16327667236328,-67.32784271240234,-864.1194458007812,-479.0703430175781,-128.17239379882812,-159.17759704589844,-77.8488540649414
-611.7619018554688,-145.90328979492188,-106.47688293457031,-158.24264526367188,-167.00927734375,-50.49104690551758,-145.97897338867188,-332.8471984863281,-200.94686889648438,-126.33987426757812,-192.17361450195312,-432.6865539550781,-595.7532958984375,-1606.0279541015625,-709.5692749023438,-201.11044311523438,-175.92820739746094,-157.83645629882812,-782.0101318359375,-272.1847229003906,-170.75083923339844,-146.66859436035156,-137.0629425048828,-182.71920776367188,-120.48712921142578,-851.2827758789062,-480.65625,-171.55453491210938,-270.2506103515625,-217.03175354003906
-598.9268798828125,-607.40380859375,-191.17401123046875,-250.73362731933594,-561.7252197265625,-44.72823715209961,-345.1991271972656,-394.26336669921875,-250.17098999023438,-306.1349182128906,-391.87591552734375,-467.1213073730469,-602.45263671875,-1542.7689208984375,-707.7476806640625,-392.272216796875,-725.7421264648438,-246.34771728515625,-813.779052734375,-272.8958740234375,-219.64572143554688,-157.73594665527344,-258.4594421386719,-330.841796875,-229.10214233398438,-842.6065673828125,-476.230712890625,-322.8134765625,-374.6029357910156,-261.471923828125
-592.2083740234375,-631.7608642578125,-254.8900146484375,-423.2485046386719,-699.4510498046875,-45.462467193603516,-268.7250671386719,-665.0810546875,-520.4260864257812,-482.4298095703125,-653.8674926757812,-525.7389526367188,-595.8570556640625,-1466.5689697265625,-700.7871704101562,-292.00531005859375,-908.8718872070312,-648.9158935546875,-667.176025390625,-273.0051574707031,-291.7371826171875,-217.90013122558594,-909.901123046875,-1019.21240234375,-560.5870361328125,-789.9655151367188,-473.9752197265625,-346.8030090332031,-577.8849487304688,-866.322021484375
-647.3121948242188,-2902.069580078125,-553.8638305664062,-1598.3421630859375,-857.157958984375,-58.54277420043945,-321.8284606933594,-1288.4305419921875,-1267.38232421875,-1604.9964599609375,-889.7847900390625,-887.5498046875,-611.8381958007812,-1352.8338623046875,-979.0046997070312,-862.0274658203125,-900.4561767578125,-1203.9652099609375,-625.697265625,-267.3497009277344,-329.2669677734375,-454.15875244140625,-1455.788330078125,-1507.0224609375,-710.4014282226562,-566.0982055664062,-478.0167541503906,-600.9368286132812,-1072.3897705078125,-646.6527709960938
-884.8540649414062,-1722.2581787109375,-1775.8092041015625,-2086.740478515625,-3417.2314453125,-53.9958381652832,-424.4598693847656,-1251.12744140625,-993.7671508789062,-1157.2576904296875,-1546.0927734375,-1433.7135009765625,-593.328369140625,-1388.2967529296875,-1178.5277099609375,-1291.962158203125,-1046.9632568359375,-1882.5015869140625,-711.0692138671875,-278.8824768066406,-1154.992431640625,-687.686279296875,-1577.01416015625,-2217.907958984375,-1438.1846923828125,-684.8851318359375,-474.8062744140625,-421.609375,-2318.8359375,-1925.094970703125
