2018-02-01,2018-02-02,2018-02-03,2018-02-04,2018-02-05,2018-02-06,2018-02-07,2018-02-08,2018-02-09,2018-02-10,2018-02-11,2018-02-12,2018-02-13,2018-02-14,2018-02-15,2018-02-16,2018-02-17,2018-02-18,2018-02-19,2018-02-20,2018-02-21,2018-02-22,2018-02-23,2018-02-24,2018-02-25,2018-02-26,2018-02-27,2018-02-28
-15.854734420776367,-722.896484375,0.06261476874351501,-251.05113220214844,-78.48636627197266,-39.600955963134766,-443.69207763671875,-183.41831970214844,-151.01809692382812,8.536184310913086,-526.0344848632812,-140.3350372314453,-10.836182594299316,-19.028581619262695,-149.01620483398438,-165.5100555419922,-411.33685302734375,-128.38241577148438,-65.86646270751953,-81.29678344726562,-52.63954544067383,-283.7042236328125,-316.991455078125,-121.84220886230469,-120.03135681152344,-44.96596145629883,-12.649985313415527,-53.68129348754883
-14.35042953491211,-721.8777465820312,-0.12805896997451782,-250.2018280029297,-78.67626190185547,-41.70449447631836,-441.3042297363281,-181.0499725341797,-152.35560607910156,9.138274192810059,-529.9552001953125,-142.361328125,-12.867449760437012,-18.499996185302734,-150.45053100585938,-166.88494873046875,-412.5961608886719,-129.70391845703125,-65.1872329711914,-79.82845306396484,-53.180870056152344,-280.8495178222656,-319.3648376464844,-122.30065155029297,-119.518310546875,-44.20649719238281,-11.742688179016113,-52.387298583984375
-15.605006217956543,-707.5792846679688,-1.756856083869934,-250.114990234375,-78.88865661621094,-39.48064041137695,-442.7489013671875,-182.96099853515625,-151.38230895996094,7.674130439758301,-521.1571655273438,-140.98719787597656,-11.691575050354004,-18.43651008605957,-151.4899444580078,-165.8553466796875,-411.92938232421875,-128.97215270996094,-66.14994812011719,-80.28097534179688,-52.24395751953125,-279.5404052734375,-320.400146484375,-123.03081512451172,-119.35911560058594,-44.775856018066406,-11.809881210327148,-53.07619857788086
-15.034223556518555,-717.1739501953125,-1.4157525300979614,-251.0657958984375,-78.84005737304688,-40.3631591796875,-436.89202880859375,-183.45675659179688,-151.95248413085938,8.50989818572998,-523.6651611328125,-139.3255157470703,-12.543316841125488,-19.354097366333008,-152.51275634765625,-167.9099884033203,-410.6875915527344,-131.16651916503906,-64.3453369140625,-79.67980194091797,-53.598175048828125,-275.8482971191406,-317.2631530761719,-122.05503845214844,-120.24723815917969,-45.943180084228516,-14.328186988830566,-53.993507385253906
-17.213485717773438,-721.0576171875,-0.7097017765045166,-251.1455841064453,-80.0606460571289,-40.766090393066406,-441.4643249511719,-184.7305908203125,-153.1381072998047,7.88899040222168,-526.50830078125,-142.18077087402344,-11.739930152893066,-19.486736297607422,-149.15957641601562,-167.74635314941406,-410.49371337890625,-129.63710021972656,-64.54737091064453,-82.4822998046875,-53.802947998046875,-280.09222412109375,-320.09466552734375,-123.01432037353516,-118.62200927734375,-44.48823547363281,-14.529497146606445,-54.177425384521484
-17.819236755371094,-713.6889038085938,-0.12529757618904114,-251.0522003173828,-76.63678741455078,-39.571067810058594,-440.26312255859375,-186.00173950195312,-151.257080078125,8.382402420043945,-528.350341796875,-142.55755615234375,-11.975849151611328,-19.194747924804688,-152.01956176757812,-164.17874145507812,-413.1576843261719,-129.92251586914062,-65.96800231933594,-81.55937194824219,-53.66325378417969,-276.0887145996094,-316.4093017578125,-122.75725555419922,-118.43358612060547,-45.592437744140625,-12.346636772155762,-52.986751556396484
-15.20366382598877,-714.5858154296875,-0.047098204493522644,-249.99400329589844,-79.02378845214844,-40.846988677978516,-444.3706359863281,-182.38356018066406,-152.16802978515625,8.04211139678955,-526.0635986328125,-139.43739318847656,-15.110861778259277,-20.750871658325195,-149.8666534423828,-164.07830810546875,-412.7467041015625,-129.61416625976562,-64.46929168701172,-79.6563720703125,-52.772212982177734,-276.39910888671875,-315.34942626953125,-123.1844482421875,-120.03296661376953,-45.91750717163086,-11.074821472167969,-55.795955657958984
-16.9007568359375,-723.7708129882812,-0.8334776163101196,-252.54568481445312,-78.7181625366211,-39.9539680480957,-432.57061767578125,-182.87794494628906,-151.35226440429688,8.077997207641602,-521.0797729492188,-140.34617614746094,-13.112601280212402,-19.253522872924805,-151.29766845703125,-168.70101928710938,-410.7362060546875,-129.75779724121094,-66.13218688964844,-82.9451904296875,-53.54124450683594,-274.1134033203125,-318.4041442871094,-121.0865707397461,-117.23654174804688,-48.98904037475586,-14.264391899108887,-54.625343322753906
-18.071868896484375,-717.2013549804688,-1.594979166984558,-252.1188201904297,-77.15836334228516,-38.91494369506836,-436.62469482421875,-182.92401123046875,-149.62745666503906,8.263687133789062,-529.144775390625,-141.0514678955078,-12.51488971710205,-19.274572372436523,-150.3560028076172,-163.87327575683594,-412.8099060058594,-130.8006134033203,-65.9786605834961,-81.32475280761719,-54.264034271240234,-281.0492248535156,-318.2031555175781,-121.41624450683594,-120.0946044921875,-49.75972366333008,-13.054109573364258,-52.32469177246094
-17.440858840942383,-712.46142578125,-1.2037646770477295,-252.24017333984375,-78.64812469482422,-42.113590240478516,-438.2821044921875,-182.98699951171875,-152.3760986328125,7.957468032836914,-521.4190673828125,-141.52740478515625,-11.850381851196289,-18.951942443847656,-148.6524200439453,-165.62046813964844,-411.55938720703125,-132.22958374023438,-64.69811248779297,-81.51317596435547,-54.63153076171875,-279.0766296386719,-317.5096435546875,-123.03470611572266,-120.15769958496094,-45.61497497558594,-13.474467277526855,-51.89356994628906
-17.13668441772461,-710.6748046875,-0.8519542217254639,-252.75868225097656,-76.21004486083984,-39.974063873291016,-439.3780822753906,-183.03480529785156,-148.96939086914062,7.559535026550293,-522.6748046875,-139.0203094482422,-12.434446334838867,-20.049814224243164,-151.9416961669922,-164.50222778320312,-413.3045654296875,-130.32626342773438,-66.63843536376953,-80.8378677368164,-55.11100769042969,-273.2340087890625,-317.3188781738281,-122.24689483642578,-119.90437316894531,-46.075679779052734,-11.963025093078613,-54.28847122192383
