2019-05-01,2019-05-02,2019-05-03,2019-05-04,2019-05-05,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-11,2019-05-12,2019-05-13,2019-05-14,2019-05-15,2019-05-16,2019-05-17,2019-05-18,2019-05-19,2019-05-20,2019-05-21,2019-05-22,2019-05-23,2019-05-24,2019-05-25,2019-05-26,2019-05-27,2019-05-28,2019-05-29,2019-05-30,2019-05-31
-25.50048828125,-450.53076171875,-167.14071655273438,-29.176950454711914,-78.85621643066406,-56.03093719482422,-54.315330505371094,-159.44882202148438,-147.4692840576172,-102.96370697021484,-115.3984603881836,-134.81492614746094,-173.9894256591797,-46.87309265136719,-54.31692123413086,-49.090938568115234,-41.63486099243164,-71.82340240478516,-1250.798583984375,-377.6949462890625,-93.12553405761719,-31.13287353515625,-839.8103637695312,-177.54432678222656,1.103351354598999,-181.20555114746094,-572.6215209960938,-827.3370971679688,-618.6618041992188,-1522.3309326171875,-264.7366027832031
-25.15498924255371,-450.6591491699219,-168.2163543701172,-28.795970916748047,-79.08051300048828,-56.75929260253906,-57.89256286621094,-160.0233612060547,-147.14108276367188,-103.68425750732422,-116.3578872680664,-135.5283966064453,-177.44406127929688,-48.31570816040039,-54.76448440551758,-49.63224411010742,-42.520362854003906,-73.21876525878906,-1248.1240234375,-371.91168212890625,-94.90458679199219,-30.350570678710938,-845.7774658203125,-177.1919403076172,0.589695930480957,-181.70835876464844,-573.6251831054688,-826.9954833984375,-622.8798217773438,-1530.564697265625,-264.91015625
-24.71697425842285,-450.24774169921875,-167.6339874267578,-28.889848709106445,-79.10177612304688,-56.64654541015625,-54.80241012573242,-159.38157653808594,-149.1684112548828,-103.93701934814453,-114.46466064453125,-134.96218872070312,-170.81356811523438,-49.24553680419922,-54.96548080444336,-50.89678192138672,-42.111637115478516,-71.43299102783203,-1249.0872802734375,-384.6170654296875,-91.928466796875,-30.230798721313477,-834.8140258789062,-174.21466064453125,0.99737149477005,-180.58482360839844,-571.9264526367188,-831.3966064453125,-620.9360961914062,-1529.196533203125,-267.1621398925781
-24.634382247924805,-448.7115173339844,-167.5698699951172,-29.74628257751465,-78.95332336425781,-55.360721588134766,-60.96856689453125,-156.9456787109375,-148.0213165283203,-104.60590362548828,-115.94776153564453,-134.1133270263672,-173.9320526123047,-50.8880500793457,-53.62757873535156,-47.59394073486328,-42.68421936035156,-71.6729965209961,-1247.6849365234375,-377.40679931640625,-93.49128723144531,-30.09495735168457,-844.9262084960938,-182.4862518310547,0.5821459293365479,-182.5433349609375,-571.702392578125,-827.4384155273438,-621.1992797851562,-1528.866455078125,-267.19012451171875
-28.203052520751953,-444.0181579589844,-165.35142517089844,-29.137210845947266,-80.07656860351562,-56.230995178222656,-59.29047775268555,-158.34275817871094,-150.64471435546875,-105.43974304199219,-115.5636215209961,-134.2564239501953,-174.48268127441406,-47.47582244873047,-53.24338150024414,-48.46039962768555,-43.3934440612793,-72.65283203125,-1246.56005859375,-377.8961486816406,-93.0639877319336,-30.271156311035156,-843.1040649414062,-172.86001586914062,0.608134388923645,-181.0040283203125,-570.6768188476562,-830.2938232421875,-616.8743286132812,-1534.96923828125,-262.37579345703125
-24.769901275634766,-444.3047790527344,-164.59469604492188,-30.062942504882812,-78.0453872680664,-57.76713943481445,-58.78700637817383,-158.3352508544922,-147.26693725585938,-103.46924591064453,-116.35975646972656,-134.01129150390625,-175.94760131835938,-52.19612121582031,-54.71440887451172,-48.01598358154297,-44.70460510253906,-73.24337005615234,-1247.5699462890625,-380.6003112792969,-95.0647964477539,-30.801916122436523,-842.4703369140625,-179.611572265625,0.5457001328468323,-180.29087829589844,-573.9542236328125,-825.3492431640625,-622.1143188476562,-1528.85205078125,-269.0394592285156
-25.627233505249023,-449.1518249511719,-166.14503479003906,-30.09590721130371,-78.744140625,-57.992767333984375,-57.62152099609375,-158.6148681640625,-148.34207153320312,-103.074462890625,-115.43991088867188,-134.9246826171875,-176.91444396972656,-50.66646194458008,-54.8043098449707,-48.89497756958008,-41.84902572631836,-71.45702362060547,-1242.8419189453125,-373.2261657714844,-94.57069396972656,-31.788753509521484,-840.219970703125,-172.3140411376953,0.7241219878196716,-180.67955017089844,-575.086669921875,-824.4947509765625,-620.8838500976562,-1535.81689453125,-265.7846984863281
-24.956602096557617,-439.41766357421875,-165.89830017089844,-29.26972770690918,-78.87120819091797,-55.78769302368164,-61.06435012817383,-158.72886657714844,-151.4899444580078,-105.02692413330078,-114.89698028564453,-133.04876708984375,-175.48062133789062,-49.64091491699219,-53.79386901855469,-49.87733840942383,-45.29108810424805,-72.56541442871094,-1234.4420166015625,-375.0936584472656,-93.85220336914062,-33.92438888549805,-833.4552001953125,-178.85009765625,1.4514074325561523,-177.84048461914062,-571.5774536132812,-824.7014770507812,-622.3822021484375,-1523.84814453125,-266.617431640625
-27.152099609375,-437.8635559082031,-168.17877197265625,-29.646732330322266,-79.42562866210938,-56.91119384765625,-61.80954360961914,-157.83018493652344,-146.4749298095703,-103.37294006347656,-114.86139678955078,-134.2041778564453,-172.79759216308594,-49.92348861694336,-54.83307647705078,-49.72047424316406,-43.53333282470703,-70.07376861572266,-1243.25830078125,-376.1660461425781,-94.6640625,-34.69527816772461,-836.76025390625,-173.28662109375,0.7402644157409668,-179.63528442382812,-572.0626831054688,-830.3783569335938,-621.0156860351562,-1525.298583984375,-271.0617980957031
-23.730411529541016,-442.2685546875,-164.73178100585938,-30.817123413085938,-77.21505737304688,-58.07957458496094,-62.70765686035156,-157.5885467529297,-147.79608154296875,-103.83079528808594,-114.52996826171875,-134.1973114013672,-174.8280487060547,-50.384586334228516,-55.21434020996094,-48.65610122680664,-43.04644012451172,-73.59521484375,-1248.645263671875,-373.7797546386719,-92.69539642333984,-32.3621940612793,-826.6969604492188,-179.1663055419922,0.9208110570907593,-180.54351806640625,-572.1473388671875,-823.9376220703125,-622.5816040039062,-1525.9317626953125,-254.298095703125
-27.68083381652832,-449.3396911621094,-161.73770141601562,-28.80180549621582,-80.41390991210938,-57.82536697387695,-57.291011810302734,-157.3883056640625,-148.13758850097656,-104.08241271972656,-116.18831634521484,-134.87054443359375,-171.59251403808594,-56.244544982910156,-56.01377487182617,-48.60385513305664,-44.87024688720703,-72.54490661621094,-1246.992919921875,-371.943603515625,-93.50567626953125,-30.633140563964844,-836.5523681640625,-178.24229431152344,1.026371717453003,-180.80078125,-572.937744140625,-827.9227905273438,-626.4978637695312,-1523.923583984375,-260.25445556640625
-29.213783264160156,-447.54473876953125,-155.07070922851562,-29.703500747680664,-78.4498062133789,-58.6513786315918,-63.25386047363281,-159.76161193847656,-149.22926330566406,-103.91962432861328,-117.1229019165039,-133.77182006835938,-175.1599884033203,-52.32671356201172,-55.334163665771484,-48.01821517944336,-42.583091735839844,-73.53404235839844,-1233.6474609375,-370.9082336425781,-92.95437622070312,-31.716279983520508,-839.7201538085938,-165.08534240722656,1.121422529220581,-180.66009521484375,-572.744384765625,-828.17431640625,-622.836669921875,-1532.6561279296875,-263.6693115234375
-27.990171432495117,-442.011474609375,-156.88145446777344,-28.73813247680664,-79.10604858398438,-58.17967224121094,-61.778682708740234,-161.89047241210938,-148.50924682617188,-104.50276184082031,-116.5619125366211,-133.37716674804688,-173.54019165039062,-52.79338073730469,-56.79819107055664,-50.73066711425781,-48.06422805786133,-73.61348724365234,-1245.5909423828125,-366.852783203125,-94.45352935791016,-34.02927017211914,-840.2932739257812,-174.35873413085938,0.6307070851325989,-179.15072631835938,-573.4076538085938,-823.369873046875,-624.0108642578125,-1523.348388671875,-264.4707946777344
-29.924945831298828,-438.46673583984375,-166.76109313964844,-30.247896194458008,-80.1531982421875,-60.67375564575195,-62.873714447021484,-158.37831115722656,-150.7120819091797,-103.26861572265625,-113.49681091308594,-135.258056640625,-172.5634002685547,-54.485233306884766,-60.29271697998047,-49.560302734375,-44.667457580566406,-72.70398712158203,-1235.2027587890625,-369.97210693359375,-93.42259979248047,-32.71266174316406,-833.6969604492188,-167.5090789794922,-0.021252445876598358,-183.08706665039062,-566.3982543945312,-830.9139404296875,-617.2678833007812,-1524.85693359375,-256.5054016113281
-32.2067756652832,-447.3885192871094,-163.5245361328125,-29.273069381713867,-80.08440399169922,-59.03119659423828,-55.94462585449219,-160.356201171875,-147.27989196777344,-104.53688049316406,-114.99536895751953,-134.9017791748047,-171.0161590576172,-51.107154846191406,-56.35997772216797,-51.65645217895508,-44.62928771972656,-71.81680297851562,-1245.690673828125,-372.5185852050781,-92.23028564453125,-35.89076232910156,-822.6846313476562,-174.56800842285156,0.5767260193824768,-179.7406463623047,-574.5079956054688,-821.0521240234375,-622.8486938476562,-1523.3251953125,-258.4941101074219
-24.659671783447266,-446.2565002441406,-164.40509033203125,-29.69346046447754,-78.25244903564453,-59.567718505859375,-65.16594696044922,-159.0933837890625,-154.9815673828125,-104.76899719238281,-115.66159057617188,-134.7537841796875,-170.2446746826172,-50.503074645996094,-56.37337112426758,-51.63661575317383,-43.2166633605957,-71.85464477539062,-1244.20166015625,-373.6114807128906,-94.2614517211914,-33.36256408691406,-831.8699951171875,-174.81077575683594,0.42466509342193604,-180.23590087890625,-573.2614135742188,-827.9029541015625,-622.7909545898438,-1523.0943603515625,-264.1793518066406
-31.126110076904297,-448.7185363769531,-162.1614227294922,-28.89970588684082,-77.14083862304688,-57.77341079711914,-63.0672721862793,-157.51979064941406,-149.23475646972656,-105.11981201171875,-115.64691162109375,-136.22169494628906,-174.1838836669922,-50.413963317871094,-59.287437438964844,-48.689857482910156,-49.47829818725586,-74.87518310546875,-1248.929443359375,-372.1425476074219,-94.77423858642578,-33.93308639526367,-828.2108154296875,-165.4470977783203,0.8534820079803467,-179.027587890625,-568.9505615234375,-823.7866821289062,-622.65966796875,-1521.4205322265625,-258.8980712890625
-27.936500549316406,-441.97039794921875,-165.2898406982422,-29.718852996826172,-77.74862670898438,-58.21695327758789,-59.369285583496094,-157.84957885742188,-147.85609436035156,-104.68274688720703,-115.627197265625,-136.53659057617188,-172.38795471191406,-51.37059020996094,-56.522579193115234,-49.43868637084961,-44.37217712402344,-72.08751678466797,-1239.092041015625,-366.5793151855469,-95.69816589355469,-35.85531997680664,-827.4949340820312,-174.21603393554688,0.18047666549682617,-181.02793884277344,-570.0244140625,-821.6841430664062,-617.0457153320312,-1523.185791015625,-264.9823303222656
-30.25494956970215,-449.8642578125,-167.71067810058594,-30.419069290161133,-80.13812255859375,-57.575965881347656,-60.952754974365234,-157.74864196777344,-147.12425231933594,-99.88507080078125,-116.00369262695312,-134.8230743408203,-170.51986694335938,-54.46416473388672,-57.28627395629883,-50.62733840942383,-48.58848190307617,-72.09337615966797,-1232.34716796875,-369.5401916503906,-93.6082534790039,-37.746639251708984,-821.4598388671875,-168.01744079589844,0.19557368755340576,-182.13592529296875,-564.3536376953125,-825.693359375,-618.255126953125,-1532.9285888671875,-267.1887512207031
-30.020751953125,-447.690673828125,-168.0713653564453,-29.559001922607422,-79.53461456298828,-59.91878890991211,-62.83609390258789,-158.1698455810547,-152.40980529785156,-107.02135467529297,-116.0549545288086,-133.6090545654297,-165.81253051757812,-58.21524429321289,-59.221126556396484,-53.197410583496094,-49.91849136352539,-73.31353759765625,-1241.12353515625,-374.73046875,-93.19282531738281,-40.05842208862305,-833.1554565429688,-177.28958129882812,-0.1705586314201355,-180.595947265625,-565.1431884765625,-814.6870727539062,-622.0415649414062,-1519.5260009765625,-264.2707214355469
-31.035987854003906,-437.99871826171875,-156.07772827148438,-29.714771270751953,-78.8057861328125,-59.59210205078125,-73.00717163085938,-157.3208770751953,-148.10986328125,-104.93466186523438,-115.4658432006836,-134.8765411376953,-173.4255828857422,-52.9332160949707,-63.96187210083008,-48.706298828125,-42.3364143371582,-71.48870849609375,-1245.55126953125,-370.54583740234375,-96.22808837890625,-33.8459587097168,-818.7311401367188,-164.43312072753906,0.3103557527065277,-181.21762084960938,-566.9652709960938,-824.6345825195312,-617.098388671875,-1526.1025390625,-264.3606872558594
-35.831302642822266,-438.389892578125,-165.8511505126953,-29.771644592285156,-82.324462890625,-59.69965744018555,-75.22183990478516,-161.28675842285156,-148.3518524169922,-108.56935119628906,-116.86644744873047,-133.64715576171875,-167.9052734375,-52.715633392333984,-57.53590774536133,-46.19221878051758,-45.027374267578125,-72.57817077636719,-1249.3394775390625,-371.10528564453125,-93.94091033935547,-37.39360046386719,-817.0569458007812,-172.12196350097656,0.007500439882278442,-180.09234619140625,-575.4804077148438,-827.5336303710938,-625.1182250976562,-1508.985107421875,-261.1129150390625
