2019-06-01,2019-06-02,2019-06-03,2019-06-04,2019-06-05,2019-06-06,2019-06-07,2019-06-08,2019-06-09,2019-06-10,2019-06-11,2019-06-12,2019-06-13,2019-06-14,2019-06-15,2019-06-16,2019-06-17,2019-06-18,2019-06-19,2019-06-20,2019-06-21,2019-06-22,2019-06-23,2019-06-24,2019-06-25,2019-06-26,2019-06-27,2019-06-28,2019-06-29,2019-06-30
-56.199432373046875,-758.9634399414062,-126.9552001953125,-39.4620246887207,-76.2480239868164,-94.31806945800781,-86.35616302490234,-84.0648422241211,-201.5445556640625,-1333.93212890625,-513.9561767578125,-344.70831298828125,-815.4270629882812,-97.25763702392578,-55.43402862548828,-256.2799072265625,-260.0824279785156,-1489.9759521484375,-529.6702880859375,-2429.82080078125,-1251.3455810546875,-89.9062728881836,-133.71572875976562,-90.0169448852539,-664.9224243164062,-81.74402618408203,-55.14094924926758,-425.3982238769531,-1260.24951171875,-179.6258087158203
-55.25624465942383,-763.939697265625,-126.6130599975586,-40.580535888671875,-75.41859436035156,-94.86823272705078,-83.82534790039062,-85.92713165283203,-204.38417053222656,-1331.2864990234375,-514.393798828125,-347.81158447265625,-812.8170166015625,-98.10888671875,-55.31586837768555,-255.92169189453125,-259.17047119140625,-1487.745361328125,-528.8622436523438,-2422.940673828125,-1245.433837890625,-89.35945129394531,-134.4705810546875,-90.31187438964844,-669.3250122070312,-80.44841766357422,-57.91800308227539,-426.88360595703125,-1260.9720458984375,-182.89012145996094
-57.83033752441406,-766.1823120117188,-125.45625305175781,-39.79338073730469,-74.71824645996094,-96.55394744873047,-86.89669036865234,-83.68534088134766,-205.42088317871094,-1318.281005859375,-508.23272705078125,-342.98333740234375,-816.9747924804688,-96.11949920654297,-56.778594970703125,-255.0988006591797,-259.9374084472656,-1494.71533203125,-529.02490234375,-2436.62060546875,-1242.82958984375,-87.94581604003906,-135.24913024902344,-89.43694305419922,-650.376953125,-82.64076232910156,-57.07514953613281,-425.87982177734375,-1261.2119140625,-180.34742736816406
-57.93767166137695,-763.8287963867188,-125.33934020996094,-40.5009651184082,-76.02755737304688,-93.04839324951172,-84.79759216308594,-83.84112548828125,-204.78700256347656,-1330.8533935546875,-512.9435424804688,-345.63336181640625,-823.42236328125,-97.95135498046875,-57.35316467285156,-254.90594482421875,-260.2890930175781,-1497.56640625,-527.6139526367188,-2435.05615234375,-1250.2987060546875,-88.62220001220703,-134.3488006591797,-91.7706527709961,-660.9054565429688,-79.81509399414062,-55.78428268432617,-424.3747863769531,-1266.95703125,-178.98655700683594
-53.631221771240234,-759.2098388671875,-123.2467041015625,-39.898643493652344,-75.04743957519531,-94.59130096435547,-83.25257110595703,-84.15385437011719,-203.49462890625,-1328.638671875,-515.2828369140625,-343.18524169921875,-821.6234741210938,-96.70774841308594,-56.92354202270508,-254.159423828125,-259.0057678222656,-1492.0504150390625,-522.1222534179688,-2435.61669921875,-1245.5087890625,-91.1848373413086,-134.62893676757812,-89.48572540283203,-659.2584228515625,-79.26481628417969,-57.64191436767578,-425.10589599609375,-1263.2900390625,-180.60617065429688
-57.320621490478516,-763.8429565429688,-123.53388977050781,-39.94025802612305,-76.188720703125,-91.82889556884766,-84.48907470703125,-85.22350311279297,-202.2648468017578,-1331.1190185546875,-505.5743103027344,-345.2803955078125,-816.938720703125,-94.7869873046875,-55.820213317871094,-254.91798400878906,-259.8133239746094,-1491.5234375,-525.7542114257812,-2439.92578125,-1245.143310546875,-90.5256118774414,-134.1921844482422,-90.83102416992188,-655.3292846679688,-79.53131103515625,-57.047019958496094,-430.4714660644531,-1266.9324951171875,-180.9445037841797
-56.827083587646484,-762.38916015625,-125.48455810546875,-39.276676177978516,-74.65975189208984,-92.77033233642578,-85.97175598144531,-85.79254913330078,-203.09332275390625,-1327.7257080078125,-513.3414916992188,-342.8388366699219,-812.0887451171875,-96.0092544555664,-56.71639633178711,-251.4420928955078,-260.8004455566406,-1502.5404052734375,-517.3671875,-2432.283203125,-1223.2745361328125,-90.5708999633789,-135.93484497070312,-89.57635498046875,-646.989501953125,-81.78902435302734,-56.57981872558594,-426.8320007324219,-1263.88623046875,-180.22763061523438
-56.49358367919922,-764.4530029296875,-124.82730865478516,-40.473426818847656,-76.31394958496094,-94.24750518798828,-85.28160095214844,-83.86209106445312,-203.9124755859375,-1324.2398681640625,-515.50439453125,-344.6905212402344,-810.6507568359375,-96.58503723144531,-56.257450103759766,-255.369140625,-260.0098571777344,-1494.171630859375,-527.7190551757812,-2420.730224609375,-1237.522216796875,-88.87478637695312,-134.6961212158203,-90.1392593383789,-654.9053955078125,-84.9937973022461,-57.07213592529297,-426.9781799316406,-1263.48828125,-177.36354064941406
-55.6989631652832,-755.9660034179688,-124.59097290039062,-39.83528137207031,-73.70762634277344,-96.33987426757812,-85.59529113769531,-85.3593521118164,-201.51431274414062,-1323.0096435546875,-512.0821533203125,-342.277099609375,-823.3378295898438,-97.71844482421875,-56.96071243286133,-254.55859375,-258.8882751464844,-1496.1044921875,-528.3297729492188,-2424.498291015625,-1232.9310302734375,-90.81279754638672,-135.06402587890625,-89.22608947753906,-650.3027954101562,-81.0377197265625,-60.38081359863281,-425.7250671386719,-1257.12890625,-179.73513793945312
-56.79924392700195,-751.002197265625,-124.86326599121094,-40.342811584472656,-76.39053344726562,-96.8682632446289,-84.2554702758789,-84.78409576416016,-201.73915100097656,-1327.1463623046875,-510.6658935546875,-344.07171630859375,-809.2567138671875,-98.59661102294922,-53.5536003112793,-256.2205505371094,-259.7694396972656,-1486.3302001953125,-517.8782958984375,-2416.762451171875,-1225.4981689453125,-87.78238677978516,-135.02813720703125,-88.50987243652344,-645.4683227539062,-79.63499450683594,-56.514381408691406,-426.2180480957031,-1264.4898681640625,-178.64076232910156
-56.95053482055664,-759.1556396484375,-125.4344482421875,-40.36221694946289,-75.85847473144531,-95.12969207763672,-85.99411010742188,-84.36257934570312,-200.8404541015625,-1325.568359375,-516.386474609375,-344.2453918457031,-803.6779174804688,-95.48932647705078,-55.65584945678711,-254.1390380859375,-256.9052734375,-1473.8797607421875,-522.9625244140625,-2425.368408203125,-1224.50927734375,-90.38874816894531,-134.59188842773438,-91.84548950195312,-644.0716552734375,-83.35787963867188,-56.28189468383789,-423.8004150390625,-1261.588623046875,-180.62783813476562
-56.144527435302734,-751.891357421875,-124.81368255615234,-38.576866149902344,-74.52471160888672,-94.42508697509766,-86.5272445678711,-83.03665924072266,-203.07550048828125,-1320.533935546875,-509.2894592285156,-344.4556884765625,-818.501220703125,-93.94679260253906,-54.00639343261719,-254.46499633789062,-264.3810119628906,-1484.0230712890625,-523.7119140625,-2433.2529296875,-1229.30419921875,-89.13491821289062,-131.6223602294922,-91.09016418457031,-651.292236328125,-78.48463439941406,-56.49735641479492,-426.1365661621094,-1261.661376953125,-178.8666534423828
-56.53335189819336,-760.6943969726562,-124.26608276367188,-40.53557205200195,-76.1889419555664,-96.5761489868164,-86.34751892089844,-84.90595245361328,-204.6658172607422,-1332.7403564453125,-510.4510498046875,-343.9574279785156,-807.94775390625,-99.41294860839844,-54.07266616821289,-255.30384826660156,-259.0101623535156,-1496.8013916015625,-522.630859375,-2421.341796875,-1231.921630859375,-91.2254638671875,-133.79986572265625,-91.35029602050781,-642.76123046875,-80.2551040649414,-55.46979904174805,-424.2911682128906,-1265.0361328125,-178.52395629882812
-57.56340026855469,-758.3827514648438,-126.1675796508789,-40.8946418762207,-76.29823303222656,-95.31560516357422,-84.80419921875,-84.9683609008789,-200.80877685546875,-1321.435791015625,-513.0441284179688,-343.2438049316406,-815.4712524414062,-97.58723449707031,-55.222755432128906,-254.08761596679688,-260.63037109375,-1487.947265625,-514.2681884765625,-2429.3193359375,-1206.6346435546875,-90.32605743408203,-136.33642578125,-90.25092315673828,-650.9893798828125,-78.94287109375,-56.97153091430664,-424.18475341796875,-1256.05078125,-180.2324981689453
